initial_alias,converted_alias
NM_174968,242511_at
NM_001270463,225905_s_at
NM_001270463,242511_at
NM_001270462,225905_s_at
NM_001270462,242511_at
NM_174970,225905_s_at
NM_174970,242511_at
NM_174964,225905_s_at
NM_174964,242511_at
NM_174966,225905_s_at
NM_174966,242511_at
NM_001270465,225905_s_at
NM_001270465,242511_at
NM_174967,225905_s_at
NM_174967,242511_at
NM_052877,None
NM_001195831,None
NM_001001653,None
NM_006279,225905_s_at
NM_006279,242511_at
NM_001363573,225905_s_at
NM_001363573,242511_at
NM_001270464,225905_s_at
NM_001270464,242511_at
NM_001270461,225905_s_at
NM_001270461,242511_at
NM_001350619,225905_s_at
NM_001350619,242511_at
NM_001270460,225905_s_at
NM_001270460,242511_at
NM_001270459,225905_s_at
NM_001270459,242511_at
NM_001166588,None
NM_001301699,None
NM_001301700,None
NM_001301701,None
NM_018150,None
NM_001261418,None
NM_001145636,238365_s_at
NM_001145636,242520_s_at
NM_001319956,None
NM_003738,None
NM_024066,None
NM_001319957,None
NM_001301698,None
NM_020365,None
NM_001166292,None
NM_001320800,None
NM_001195193,242918_at
NM_007170,None
NM_005897,241393_at
NM_152298,242918_at
NM_015112,None
NM_001319245,None
NM_001324321,None
NM_001324320,None
NM_001145349,241393_at
NM_002482,242918_at
NM_001243728,224728_at
NM_001243728,224729_s_at
NM_022745,224728_at
NM_022745,224729_s_at
NM_001042546,224728_at
NM_001042546,224729_s_at
NM_003579,None
NM_001142548,None
NM_001441,None
NM_001256418,224728_at
NM_001256418,224729_s_at
NM_001370766,None
NM_001194986,230920_at
NM_001194986,241707_at
NM_001194986,244472_at
NM_001286239,238459_x_at
NM_001286239,242086_at
NM_001302082,None
NM_001349795,None
NM_001349793,None
NM_001349794,None
NM_024603,None
NM_001286238,238459_x_at
NM_001286238,242086_at
NM_019073,238459_x_at
NM_019073,242086_at
NM_001144775,234904_x_at
NM_001144775,238073_at
NM_001144775,241424_at
NM_001144777,234904_x_at
NM_001144777,238073_at
NM_001144777,241424_at
NM_001324214,234904_x_at
NM_001324214,238073_at
NM_001324214,241424_at
NM_001294348,234904_x_at
NM_001294348,238073_at
NM_001294348,241424_at
NM_001324209,234904_x_at
NM_001324209,238073_at
NM_001324209,241424_at
NM_021952,234904_x_at
NM_021952,238073_at
NM_021952,241424_at
NM_001324215,234904_x_at
NM_001324215,238073_at
NM_001324215,241424_at
NM_001144776,234904_x_at
NM_001144776,238073_at
NM_001144776,241424_at
NM_001324208,234904_x_at
NM_001324208,238073_at
NM_001324208,241424_at
NM_001144774,234904_x_at
NM_001144774,238073_at
NM_001144774,241424_at
NM_001324213,234904_x_at
NM_001324213,238073_at
NM_001324213,241424_at
NM_001324212,234904_x_at
NM_001324212,238073_at
NM_001324212,241424_at
NM_001136508,None
NM_014372,237025_at
NM_007051,222511_x_at
NM_007051,224217_s_at
NM_007051,236200_at
NM_007051,239749_at
NM_024586,236472_at
NM_024586,242994_at
NM_004799,None
NM_148905,236472_at
NM_148905,242994_at
NM_001330580,236472_at
NM_001330580,242994_at
NM_148904,236472_at
NM_148904,242994_at
