initial_alias	converted_alias
NM_001172220	SCMH1
NM_012236	SCMH1
NM_001127714	HIVEP3
NM_001350668	SCMH1
NM_001172218	SCMH1
NM_001172221	SCMH1
NM_001172219	SCMH1
NM_024503	HIVEP3
NM_001350667	SCMH1
NM_001031694	SCMH1
NM_001198852	FOXJ3
NM_001287511	PPCS
NM_001355224	CCDC30
NM_001355226	CCDC30
NM_001355227	CCDC30
NM_001080850	CCDC30
NM_014947	FOXJ3
NM_001198851	FOXJ3
NM_001198850	FOXJ3
NM_001350621	ST3GAL3
NM_001270466	ST3GAL3
NM_174965	ST3GAL3
NM_174971	ST3GAL3
NM_174963	ST3GAL3
NM_001350620	ST3GAL3
NM_174969	ST3GAL3
NM_201542	MED8
NM_174968	ST3GAL3
NM_001270463	ST3GAL3
NM_001270462	ST3GAL3
NM_174970	ST3GAL3
NM_174964	ST3GAL3
NM_174966	ST3GAL3
NM_001270465	ST3GAL3
NM_174967	ST3GAL3
NM_052877	MED8
NM_001195831	CFAP57
NM_001001653	MED8
NM_006279	ST3GAL3
NM_001363573	ST3GAL3
NM_001270464	ST3GAL3
NM_001270461	ST3GAL3
NM_001350619	ST3GAL3
NM_001270460	ST3GAL3
NM_001270459	ST3GAL3
NM_001166588	EIF2B3
NM_001301699	ERI3
NM_001301700	ERI3
NM_001301701	ERI3
NM_018150	RNF220
NM_001261418	EIF2B3
NM_001145636	ARMH1
NM_001319956	RNF220
NM_003738	PTCH2
NM_024066	ERI3
NM_001319957	RNF220
NM_001301698	ERI3
NM_020365	EIF2B3
NM_001166292	PTCH2
NM_001320800	TESK2
NM_001195193	NASP
NM_007170	TESK2
NM_005897	IPP
NM_152298	NASP
NM_015112	MAST2
NM_001319245	MAST2
NM_001324321	MAST2
NM_001324320	MAST2
NM_001145349	IPP
NM_002482	NASP
NM_001243728	ATPAF1
NM_022745	ATPAF1
NM_001042546	ATPAF1
NM_003579	RAD54L
NM_001142548	RAD54L
NM_001441	FAAH
NM_001256418	ATPAF1
NM_001370766	RAD54L
NM_001194986	TRABD2B
NM_001286239	SPATA6
NM_001302082	BEND5
NM_001349795	BEND5
NM_001349793	BEND5
NM_001349794	BEND5
NM_024603	BEND5
NM_001286238	SPATA6
NM_019073	SPATA6
NM_001144775	ELAVL4
NM_001144777	ELAVL4
NM_001324214	ELAVL4
NM_001294348	ELAVL4
NM_001324209	ELAVL4
NM_021952	ELAVL4
NM_001324215	ELAVL4
NM_001144776	ELAVL4
NM_001324208	ELAVL4
NM_001144774	ELAVL4
NM_001324213	ELAVL4
NM_001324212	ELAVL4
NM_001136508	C1orf185
NM_014372	RNF11
NM_007051	FAF1
NM_024586	OSBPL9
NM_004799	ZFYVE9
NM_148905	OSBPL9
NM_001330580	OSBPL9
NM_148904	OSBPL9
NM_148907	OSBPL9
NM_007324	ZFYVE9
NM_001350208	OSBPL9
NM_148909	OSBPL9
NM_001350209	OSBPL9
NM_148908	OSBPL9
NM_001350210	OSBPL9
NM_148906	OSBPL9
NM_015913	TXNDC12
NM_001193600	SCP2
NM_001193617	SCP2
NM_001330587	SCP2
NM_024646	ZYG11B
NM_153703	PODN
NM_001193599	SCP2
NM_002979	SCP2
NM_001304760	CZIB
NM_001304759	CZIB
NM_017887	CZIB
NM_023077	COA7
NM_001007098	SCP2
NM_001199081	PODN
NM_001199080	PODN
NM_001009955	SSBP3
NM_147193	GLIS1
NM_018070	SSBP3
NM_001353655	CDCP2
NM_018982	YIPF1
NM_001367484	GLIS1
NM_145716	SSBP3
NM_001291332	MROH7
NM_174936	PCSK9
NM_001039464	MROH7
NM_015306	USP24
NM_017904	TTC22
NM_001114108	TTC22
NM_001004303	FYB2
NM_000562	C8A
NM_001353986	DAB1
NM_001353985	DAB1
NM_001365795	None
NM_001365794	None
NM_001365793	DAB1
NM_001365792	DAB1
NM_001353983	DAB1
NM_001350797	FGGY
NM_001350798	FGGY
NM_001244714	FGGY
NM_001350791	FGGY
NM_001350793	FGGY
NM_001350796	FGGY
NM_001350795	FGGY
NM_018291	FGGY
NM_001350792	FGGY
NM_001350799	FGGY
NM_001278224	FGGY
NM_001350790	FGGY
NM_001350794	FGGY
NM_001113411	FGGY
NM_000775	CYP2J2
NM_152377	C1orf87
NM_001145511	NFIA
NM_005595	NFIA
NM_001145512	NFIA
NM_001134673	NFIA
NM_001272001	DOCK7
NM_001271999	DOCK7
NM_033407	DOCK7
NM_001272000	DOCK7
NM_001272002	DOCK7
NM_181712	KANK4
NM_001320269	KANK4
NM_001330614	DOCK7
NM_001367561	DOCK7
NM_032437	EFCAB7
NM_001293274	CACHD1
NM_001366235	UBE2U
NM_001366165	RAVER2
NM_001321857	JAK1
NM_001366234	UBE2U
NM_001366233	UBE2U
NM_152489	UBE2U
NM_018211	RAVER2
NM_001366232	UBE2U
NM_020925	CACHD1
NM_002227	JAK1
NM_001321855	JAK1
NM_001321856	JAK1
NM_001320923	JAK1
NM_014787	DNAJC6
NM_001198688	LEPR
NM_001198689	LEPR
NM_001003680	LEPR
NM_001256865	DNAJC6
NM_001256864	DNAJC6
NM_002303	LEPR
NM_001198687	LEPR
NM_001003679	LEPR
NM_207014	DNAI4
NM_001146113	MIER1
NM_001146112	MIER1
NM_001077702	MIER1
NM_001146111	MIER1
NM_001308203	SGIP1
NM_001077700	MIER1
NM_032291	SGIP1
NM_001077703	MIER1
NM_001077701	MIER1
NM_001350217	SGIP1
NM_024763	DNAI4
NM_020948	MIER1
NM_001350218	SGIP1
NM_001146110	MIER1
NM_001077704	MIER1
NM_001350530	MIER1
NM_018841	GNG12
NM_001258216	IL12RB2
NM_001258214	IL12RB2
NM_001258215	IL12RB2
NM_001319233	IL12RB2
NM_144701	IL23R
NM_001559	IL12RB2
NM_001374259	IL12RB2
NM_001366836	LRRC7
NM_001366841	LRRC7
NM_001350216	LRRC7
NM_001366837	LRRC7
NM_001330635	LRRC7
NM_001366839	LRRC7
NM_001366842	LRRC7
NM_001366840	LRRC7
NM_001366838	LRRC7
NM_001370785	LRRC7
NM_001126044	PTGER3
NM_198714	PTGER3
NM_198718	PTGER3
NM_198717	PTGER3
NM_198716	PTGER3
NM_198715	PTGER3
NM_198719	PTGER3
NM_173808	NEGR1
NM_001322315	LRRIQ3
NM_001105659	LRRIQ3
NM_001889	CRYZ
NM_001134759	CRYZ
NM_001130043	CRYZ
NM_001130042	CRYZ
NM_001002912	ERICH3
NM_000016	ACADM
NM_002440	MSH4
NM_001127328	ACADM
NM_001286044	ACADM
NM_001286042	ACADM
NM_001286043	ACADM
NM_174858	AK5
NM_012093	AK5
NM_001320273	ST6GALNAC5
NM_005482	PIGK
NM_030965	ST6GALNAC5
NM_001320274	None
NM_201624	USP33
NM_201626	USP33
NM_001270384	MIGA1
NM_001363583	MIGA1
NM_001363584	MIGA1
NM_001363586	MIGA1
NM_017655	GIPC2
NM_000959	PTGFR
NM_001304725	GIPC2
NM_198549	MIGA1
NM_001317099	DNAJB4
NM_001317102	DNAJB4
NM_001317101	DNAJB4
NM_001317100	None
NM_015017	USP33
NM_001039585	PTGFR
NM_022159	ADGRL4
NM_001350699	ADGRL2
NM_001366007	ADGRL2
NM_001366005	ADGRL2
NM_001297706	ADGRL2
NM_001297705	ADGRL2
NM_001330645	ADGRL2
NM_012302	ADGRL2
NM_001366009	ADGRL2
NM_001350698	ADGRL2
NM_001366006	ADGRL2
NM_001366002	ADGRL2
NM_001166295	SSX2IP
NM_021233	DNASE2B
NM_014021	SSX2IP
NM_002731	PRKACB
NM_001300916	PRKACB
NM_001310156	SPATA1
NM_001166294	SSX2IP
NM_001166417	SSX2IP
NM_058248	DNASE2B
NM_001166293	SSX2IP
NM_207578	PRKACB
NM_182948	PRKACB
NM_145172	DNAI3
NM_032184	SYDE2
NM_001134445	DDAH1
NM_012137	DDAH1
NM_001288563	DNAI3
NM_001330655	DDAH1
NM_001366783	ODF2L
NM_001366782	ODF2L
NM_001366784	ODF2L
NM_001184765	ODF2L
NM_001184766	ODF2L
NM_020729	ODF2L
NM_001366781	ODF2L
NM_203341	SELENOF
NM_004261	SELENOF
NM_001366779	ODF2L
NM_001007022	ODF2L
NM_001320709	PKN2
NM_001320708	PKN2
NM_001320707	PKN2
NM_001514	GTF2B
NM_006256	PKN2
NM_001134486	GBP5
NM_018103	LRRC8D
NM_032270	LRRC8C
NM_052942	GBP5
NM_001134479	LRRC8D
NM_016620	ZNF644
NM_032186	ZNF644
NM_201269	ZNF644
NM_001242806	BRDT
NM_001242810	BRDT
NM_001242805	BRDT
NM_001726	BRDT
NM_001195684	TGFBR3
NM_003243	TGFBR3
NM_001242808	BRDT
NM_183242	None
NM_001195683	TGFBR3
NM_001242807	BRDT
NM_001017975	HFM1
NM_207189	BRDT
NM_005665	EVI5
NM_001252273	DIPK1A
NM_001252269	DIPK1A
NM_001252270	DIPK1A
NM_001350197	EVI5
NM_206886	CCDC18
NM_001306076	CCDC18
NM_001350198	EVI5
NM_001006605	DIPK1A
NM_001308248	EVI5
NM_001261408	BCAR3
NM_003567	BCAR3
NM_017737	FNBP1L
NM_001328665	ARHGAP29
NM_000350	ABCA4
NM_001261410	BCAR3
NM_001164473	FNBP1L
NM_001261409	BCAR3
NM_001328664	ARHGAP29
NM_001024948	FNBP1L
NM_001199691	TLCD4-RWDD3
NM_001305242	ALG14
NM_144988	ALG14
NM_152487	TLCD4
NM_001199679	TLCD4
NM_002858	ABCD3
NM_001300988	PTBP2
NM_001300990	PTBP2
NM_001300989	PTBP2
NM_001300987	PTBP2
NM_001300986	PTBP2
NM_001300985	PTBP2
NM_021190	PTBP2
NM_001160301	DPYD
NM_001364903	SNX7
NM_001010861	PLPPR5
NM_152238	SNX7
NM_001037317	PLPPR5
NM_015976	SNX7
NM_033312	CDC14A
NM_000644	AGL
NM_033313	CDC14A
NM_003729	RTCA
NM_001361041	FRRS1
NM_001271685	SLC35A3
NM_001319212	CDC14A
NM_001319211	CDC14A
NM_001319210	CDC14A
NM_000642	AGL
NM_001130841	RTCA
NM_012243	SLC35A3
NM_001271684	SLC35A3
NM_000643	AGL
NM_001013660	FRRS1
NM_000028	AGL
NM_019083	TRMT13
NM_003672	CDC14A
NM_000646	AGL
NM_001144884	SLC30A7
NM_133496	SLC30A7
NM_058170	OLFM3
NM_001288821	OLFM3
NM_001288823	OLFM3
NM_080630	COL11A1
NM_001190709	COL11A1
NM_001854	COL11A1
NM_080629	COL11A1
NM_017619	RNPC3
NM_001330665	NTNG1
NM_001372171	NTNG1
NM_006113	VAV3
NM_001113226	NTNG1
NM_001113228	NTNG1
NM_001372170	NTNG1
NM_001079874	VAV3
NM_001372166	NTNG1
NM_014917	NTNG1
NM_001312688	NTNG1
NM_001372169	NTNG1
NM_001372168	NTNG1
NM_001372167	NTNG1
NM_213651	SLC25A24
NM_013296	GPSM2
NM_001321039	GPSM2
NM_144584	HENMT1
NM_013386	SLC25A24
NM_001321038	GPSM2
